"","where","cases","deaths","AIANNHCE","AIANNHNS","GEOID","NAMELSAD","ALAND","AWATER","tot_pop","Shape_Length","Shape_Area","deathrate","caserate"
"203","Evansville",NA,NA,6490,2418575,"6490R","Evansville ANVSA",15748975,68589,77,0.307419147,0.003238765,NA,NA
"204","Ewiiaapaayp",NA,NA,1065,241187,"1065R","Ewiiaapaayp Reservation",22139262,0,0,0.279988743,0.002132346,NA,NA
"205","Eyak",NA,NA,6495,2418578,"6495R","Eyak ANVSA",35611640,1798509,257,0.442658363,0.006114752,NA,NA
"206","Fallon Paiute-Shoshone",NA,NA,1070,850495,"1070R","Fallon Paiute-Shoshone Colony",228531,0,74,0.019653423,2.39258e-05,NA,NA
"207","Fallon Paiute-Shoshone",NA,NA,1075,840414,"1075R","Fallon Paiute-Shoshone Reservation",33125605,0,745,0.280836036,0.003469809,NA,NA
"208","False Pass",NA,NA,6500,2418579,"6500R","False Pass ANVSA",31840703,0,78,0.565464378,0.004452151,NA,NA
"209","Flandreau",NA,NA,1100,1934365,"1100R","Flandreau Reservation",8973397,86662,509,0.311130778,0.001017881,NA,NA
"210","Flathead",NA,NA,1110,806894,"1110R","Flathead Reservation",5013467042,316267878,29717,4.82607247,0.636261022,NA,NA
"211","Fond du Lac",NA,NA,1125,654521,"1125R","Fond du Lac Reservation",398807704,12656681,3944,1.063472319,0.048450505,NA,NA
"212","Forest County Potawatomi",NA,NA,1135,2418936,"1135R","Forest County Potawatomi Community",49985745,175489,704,2.026194486,0.005773522,NA,NA
"213","Fort Apache Indian Reservation",NA,NA,1140,4741,"1140R","Fort Apache Reservation",6799286350,15508272,15515,5.386086238,0.664471976,NA,NA
"214","Fort Belknap",NA,NA,1150,767938,"1150R","Fort Belknap Reservation",2511630528,9521412,3187,3.290465521,0.305042071,NA,NA
"215","Fort Bidwell",NA,NA,1170,260275,"1170R","Fort Bidwell Reservation",13858176,14695,119,0.232199783,0.001504272,NA,NA
"216","Fort Independence",NA,NA,1195,260277,"1195R","Fort Independence Reservation",2261363,0,74,0.080936093,0.000228454,NA,NA
"217","Fort McDermitt",NA,NA,1210,859740,"1210R","Fort McDermitt Indian Reservation",140874984,0,336,2.426165167,0.015297996,NA,NA
"218","Fort Mojave",NA,NA,1235,24003,"1235R","Fort Mojave Reservation",133535379,2778031,1754,2.251523515,0.013450446,NA,NA
"219","Fort Peck",NA,NA,1250,805884,"1250R","Fort Peck Indian Reservation",8516690160,35225913,10319,7.546779581,1.037848085,NA,NA
"220","Fort Pierce",NA,NA,1260,2418940,"1260R","Fort Pierce Reservation",244942,0,87,0.02353598,2.23508e-05,NA,NA
"221","Fort Sill Apache",NA,NA,1270,2711352,"1270R","Fort Sill Apache Indian Reservation",121466,0,0,0.014738113,1.16224e-05,NA,NA
"222","Fort Yukon",NA,NA,6515,2418585,"6515R","Fort Yukon ANVSA",17466358,508298,533,0.358793977,0.003632744,NA,NA
"223","Four Winds Cherokee",NA,NA,9720,2418587,"9720R","Four Winds Cherokee SDTSA",567292520,5167079,31380,2.249666722,0.054129147,NA,NA
"224","Gakona",NA,NA,6520,2418592,"6520R","Gakona ANVSA",94789641,29592,103,1.320359043,0.016454494,NA,NA
"225","Galena",NA,NA,6525,2418594,"6525R","Galena ANVSA",44468966,17753689,510,0.678221473,0.011715938,NA,NA
"226","Gambell",NA,NA,6530,2418595,"6530R","Gambell ANVSA",27208078,4353093,601,0.343433694,0.005735868,NA,NA
"227","Georgetown",NA,NA,6535,2418598,"6535R","Georgetown ANVSA",113448807,2902377,0,0.996900878,0.0198683,NA,NA
"228","Golden Hill Paugussett",NA,NA,9100,1930930,"9100R","Golden Hill Paugussett (state) Reservation",399343,0,1,0.031903635,4.30974e-05,NA,NA
"229","Golovin",NA,NA,6540,2418601,"6540R","Golovin ANVSA",10709113,0,128,0.251119013,0.00200353,NA,NA
"230","Goodnews Bay",NA,NA,6545,2418602,"6545R","Goodnews Bay ANVSA",8633994,0,192,0.189856572,0.001353447,NA,NA
"231","Goshute",NA,NA,1340,1455300,"1340R","Goshute Reservation",486449507,13114,140,1.491066824,0.051210763,NA,NA
"232","Grand Portage",NA,NA,1355,654523,"1355R","Grand Portage Reservation",192878801,3189582,722,1.508569123,0.023612136,NA,NA
"233","Grand Ronde",NA,NA,1365,2418950,"1365R","Grand Ronde Community",45921222,0,518,0.861263339,0.005253641,NA,NA
"234","Grand Traverse",NA,NA,1370,2418951,"1370R","Grand Traverse Reservation",74273,0,725,0.018410126,8.47929e-06,NA,NA
"235","Grayling",NA,NA,6550,2418603,"6550R","Grayling ANVSA",29082578,16515,176,0.298451089,0.005134536,NA,NA
"236","Greenville",NA,NA,1380,1666180,"1380R","Greenville Rancheria",284692,0,28,0.027214891,3.00901e-05,NA,NA
"237","Grindstone",NA,NA,1395,266781,"1395R","Grindstone Indian Rancheria",326144,22791,256,0.026658243,3.66289e-05,NA,NA
"238","Guidiville",NA,NA,1400,224709,"1400R","Guidiville Rancheria",175438,0,58,0.028615646,1.82849e-05,NA,NA
"239","Gulkana",NA,NA,6560,2418604,"6560R","Gulkana ANVSA",11234868,0,76,0.359248042,0.001940973,NA,NA
"240","Haiku",NA,NA,5009,2634612,"5009T","Haiku Hawaiian Home Land",584613,0,0,0.053195151,5.09225e-05,NA,NA
"241","Haliwa-Saponi",NA,NA,9745,2418608,"9745R","Haliwa-Saponi SDTSA",458415677,1216803,8713,1.731633462,0.046089839,NA,NA
"242","Hamilton",NA,NA,6570,2418609,"6570R","Hamilton ANVSA",13105564,397340,0,0.257899523,0.002382516,NA,NA
"243","Hanapepe",NA,NA,5011,359057,"5011T","Hanapepe Hawaiian Home Land",1474122,0,11,0.061220839,0.000128847,NA,NA
"244","Hannahville",NA,NA,1410,1616983,"1410R","Hannahville Indian Community",14424818,0,656,0.679252279,0.001667305,NA,NA
"245","Hassanamisco",NA,NA,9150,2418958,"9150R","Hassanamisco (state) Reservation",20909,0,0,0.007765307,2.27962e-06,NA,NA
"246","Havasupai",NA,NA,1440,45638,"1440R","Havasupai Reservation",714400022,0,15,2.077744817,0.071551965,NA,NA
"247","Healy Lake",NA,NA,6575,2418613,"6575R","Healy Lake ANVSA",122683829,21452187,4,1.065128234,0.026399652,NA,NA
"248","Hoh",NA,NA,1460,1505548,"1460R","Hoh Indian Reservation",1769173,12010,106,0.072852021,0.000213604,NA,NA
"249","Hollywood",NA,NA,1475,284183,"1475R","Hollywood Reservation",2033906,14020,989,0.102567544,0.000184698,NA,NA
"250","Holy Cross",NA,NA,6585,2418617,"6585R","Holy Cross ANVSA",74677223,18724234,183,0.547156107,0.016092728,NA,NA
"251","Homuula-Upper Piihonua",NA,NA,5018,2634613,"5018T","Homuula-Upper Piihonua Hawaiian Home Land",250978086,13642,2,1.094501489,0.021632024,NA,NA
"252","Honokaia",NA,NA,5026,359289,"5026T","Honokaia Hawaiian Home Land",13019793,0,0,0.169158903,0.001124101,NA,NA
"253","Honokowai",NA,NA,5029,1853346,"5029T","Honokowai Hawaiian Home Land",3240911,5142,0,0.189137704,0.00028189,NA,NA
"254","Honolulu Makai",NA,NA,5030,1853354,"5030T","Honolulu Makai Hawaiian Home Land",94192,0,0,0.025536882,8.20038e-06,NA,NA
"255","Honomu",NA,NA,5031,1853338,"5031T","Honomu Hawaiian Home Land",3091503,48050,0,0.132997251,0.000270761,NA,NA
"256","Hoolehua-Palaau",NA,NA,5033,1853339,"5033T","Hoolehua-Palaau Hawaiian Home Land",55963215,0,1191,0.552260045,0.004866902,NA,NA
"257","Hoonah",NA,NA,6590,2418618,"6590R","Hoonah ANVSA",15197401,3276590,800,0.30083258,0.002813762,NA,NA
"258","Hooper Bay",NA,NA,6595,2418619,"6595R","Hooper Bay ANVSA",19418102,78618,1101,0.420501076,0.003287661,NA,NA
"259","Hopland",NA,NA,1515,225577,"1515R","Hopland Rancheria",8151731,3794,281,0.191820575,0.000847989,NA,NA
"260","Houlton Maliseet",NA,NA,1530,2418969,"1530R","Houlton Maliseet Reservation",3321526,22653,325,0.166819711,0.000389672,NA,NA
"261","Hualapai",NA,NA,1545,45633,"1545R","Hualapai Indian Reservation",4121300349,8118425,1590,3.993564772,0.411908312,NA,NA
"262","Hughes",NA,NA,6605,2418621,"6605R","Hughes ANVSA",10223694,2374667,90,0.282242774,0.002492472,NA,NA
"263","Huron Potawatomi",NA,NA,1550,2109298,"1550R","Huron Potawatomi Reservation",502198,18193,62,0.034199964,5.6641e-05,NA,NA
"264","Huslia",NA,NA,6610,2418622,"6610R","Huslia ANVSA",42557560,1672801,404,0.454193113,0.008635762,NA,NA
"265","Hydaburg",NA,NA,6615,2418623,"6615R","Hydaburg ANVSA",755589,7081,330,0.057569264,0.000107603,NA,NA
"266","Igiugig",NA,NA,6620,2418625,"6620R","Igiugig ANVSA",54582330,2714517,62,0.702286893,0.009028888,NA,NA
"267","Iliamna",NA,NA,6625,2418627,"6625R","Iliamna ANVSA",96392427,1213528,63,0.744993806,0.015604626,NA,NA
"268","Immokalee",NA,NA,1555,2418972,"1555R","Immokalee Reservation",2471270,21068,447,0.072497895,0.000225464,NA,NA
"269","Inaja and Cosmit",NA,NA,1560,243797,"1560R","Inaja and Cosmit Reservation",3484656,0,0,0.101229512,0.000336254,NA,NA
"270","Inalik",NA,NA,6630,2418629,"6630R","Inalik ANVSA",6297821,0,94,0.150559872,0.00123208,NA,NA
"271","Indian Township",NA,NA,1575,2418973,"1575R","Indian Township Reservation",97216884,17867564,753,0.5095005,0.013194347,NA,NA
"272","Ione Band of Miwok",NA,NA,8300,2418631,"8300R","Ione Band of Miwok TDSA",5435996,0,6,0.115836677,0.000561058,NA,NA
"273","Iowa",NA,NA,5670,1925066,"5670R","Iowa OTSA",923594896,8418959,6590,1.605873722,0.092954329,NA,NA
"274","Iowa (KS-NE)",NA,NA,1590,479831,"1590R","Iowa (KS-NE) Reservation",50884153,15537,173,0.465229189,0.005367825,NA,NA
"275","Isabella",NA,NA,1610,1616981,"1610R","Isabella Reservation",560500419,4425892,27617,1.358987387,0.063049095,NA,NA
"276","Ivanof Bay",NA,NA,6650,2418632,"6650R","Ivanof Bay ANVSA",10860667,0,0,0.24056791,0.001560101,NA,NA
"277","Jackson",NA,NA,1640,226085,"1640R","Jackson Rancheria",1185630,0,0,0.074029875,0.000122248,NA,NA
"278","Jamestown S'Klallam",NA,NA,1655,2418978,"1655R","Jamestown S'Klallam Reservation",46220,18375,9,0.021630299,7.78846e-06,NA,NA
"279","Jamul",NA,NA,1670,2418979,"1670R","Jamul Indian Village",59534,0,0,0.016123745,5.72527e-06,NA,NA
"280","Jena Band of Choctaw",NA,NA,1690,2453210,"1690R","Jena Band of Choctaw Reservation",262652,0,0,0.040724682,2.4941e-05,NA,NA
"281","Jicarilla Apache Nation",NA,NA,1700,1934339,"1700R","Jicarilla Apache Nation Reservation",3405649424,10114630,3195,4.417304041,0.343821575,NA,NA
"282","Kahikinui",NA,NA,5041,359755,"5041T","Kahikinui Hawaiian Home Land",96495595,0,0,0.460443486,0.008363336,NA,NA
"283","Kaibab",NA,NA,1720,23994,"1720R","Kaibab Indian Reservation",489295372,19920,253,1.108942085,0.049478666,NA,NA
"284","Kakaina-Kumuhau",NA,NA,5043,2634614,"5043T","Kakaina-Kumuhau Hawaiian Home Land",84090,0,165,0.022214797,7.32168e-06,NA,NA
"285","Kake",NA,NA,6670,2418635,"6670R","Kake ANVSA",19872185,15107530,578,0.312084673,0.005164606,NA,NA
"286","Kaktovik",NA,NA,6680,2418636,"6680R","Kaktovik ANVSA",2005413,704200,178,0.157071938,0.000639806,NA,NA
"287","Kalaeloa",NA,NA,5044,2634615,"5044T","Kalaeloa Hawaiian Home Land",2318081,0,17,0.189812004,0.00020179,NA,NA
"288","Kalamaula",NA,NA,5046,1853005,"5046T","Kalamaula Hawaiian Home Land",20578985,0,421,0.26506612,0.001789192,NA,NA
"289","Kalaupapa",NA,NA,5051,360095,"5051T","Kalaupapa Hawaiian Home Land",5027873,0,75,0.138349735,0.000437306,NA,NA
"290","Kalawahine",NA,NA,5053,2634616,"5053T","Kalawahine Hawaiian Home Land",191538,0,384,0.026702286,1.6674e-05,NA,NA
"291","Kalispel",NA,NA,1735,1528426,"1735R","Kalispel Reservation",18859651,310450,210,0.43523533,0.002326339,NA,NA
"292","Kalskag",NA,NA,6685,2418638,"6685R","Kalskag ANVSA",9207919,1151750,222,0.178802313,0.001747845,NA,NA
"293","Kaltag",NA,NA,6690,2418639,"6690R","Kaltag ANVSA",56045675,15321784,172,0.48359572,0.013235558,NA,NA
"294","Kamaoa-Puueo",NA,NA,5056,1853340,"5056T","Kamaoa-Puueo Hawaiian Home Land",45555656,0,11,0.394170516,0.003907801,NA,NA
"295","Kamiloloa-Makakupaia",NA,NA,5061,2634617,"5061T","Kamiloloa-Makakupaia Hawaiian Home Land",13149034,158134,77,0.194158348,0.001156747,NA,NA
"296","Kamoku-Kapulena",NA,NA,5066,1853341,"5066T","Kamoku-Kapulena Hawaiian Home Land",19349738,6270,36,0.253948784,0.001671337,NA,NA
"297","Kanehili",NA,NA,5067,2634618,"5067T","Kanehili Hawaiian Home Land",279722,0,1659,0.029104454,2.43545e-05,NA,NA
"298","Kaohe-Olaa",NA,NA,5069,362767,"5069T","Kaohe-Olaa Hawaiian Home Land",2753056,0,0,0.125018043,0.000236899,NA,NA
"299","Kapaa",NA,NA,5071,360456,"5071T","Kapaa Hawaiian Home Land",70824,0,0,0.015425689,6.19735e-06,NA,NA
"300","Kapaakea",NA,NA,5076,360469,"5076T","Kapaakea Hawaiian Home Land",7918049,0,184,0.152839604,0.00068833,NA,NA
"301","Kapolei",NA,NA,5083,2414178,"5083T","Kapolei Hawaiian Home Land",363048,0,0,0.042152691,3.16079e-05,NA,NA
"302","Karluk",NA,NA,6700,2418641,"6700R","Karluk ANVSA",63843525,2133122,44,0.702144484,0.009901408,NA,NA
"303","Karuk",NA,NA,1750,2418982,"1750R","Karuk Reservation",67101,0,513,0.018578343,7.25346e-06,NA,NA
"304","Kasaan",NA,NA,6705,2418643,"6705R","Kasaan ANVSA",15703414,1904849,75,0.278412757,0.002506209,NA,NA
"305","Kasigluk",NA,NA,6710,2418644,"6710R","Kasigluk ANVSA",30582208,2752345,574,0.374791311,0.005507954,NA,NA
"306","Kaumana",NA,NA,5086,360700,"5086T","Kaumana Hawaiian Home Land",72612,0,134,0.030151125,6.25551e-06,NA,NA
"307","Kaupea",NA,NA,5088,2634619,"5088T","Kaupea Hawaiian Home Land",216739,0,1482,0.022238675,1.88694e-05,NA,NA
"308","Kaw",NA,NA,5690,1925070,"5690R","Kaw OTSA",1233420084,53310105,5834,1.794081325,0.130065032,NA,NA
"309","Kaw/Ponca",NA,NA,5950,2418647,"5950R","Kaw/Ponca joint-use OTSA",281605234,4415108,26375,0.948813686,0.028859337,NA,NA
"310","Kawaihae",NA,NA,5091,1853020,"5091T","Kawaihae Hawaiian Home Land",41407083,0,587,0.330191643,0.003575854,NA,NA
"311","Keahuolu",NA,NA,5098,2634620,"5098T","Keahuolu Hawaiian Home Land",613892,0,0,0.029683344,5.28809e-05,NA,NA
"312","Kealakehe",NA,NA,5101,1853342,"5101T","Kealakehe Hawaiian Home Land",2884021,0,1043,0.181765541,0.000248441,NA,NA
"313","Keanae-Wailua",NA,NA,5104,360975,"5104T","Keanae-Wailua Hawaiian Home Land",995339,0,13,0.148322218,8.63791e-05,NA,NA
"314","Keaukaha",NA,NA,5106,1853343,"5106T","Keaukaha Hawaiian Home Land",6833041,0,1693,0.210474005,0.000588827,NA,NA
"315","Kekaha",NA,NA,5111,1853344,"5111T","Kekaha Hawaiian Home Land",205241,0,555,0.039834653,1.79464e-05,NA,NA
"316","Kenaitze",NA,NA,6720,2418648,"6720R","Kenaitze ANVSA",5073987324,251913693,35097,6.966193954,0.870348008,NA,NA
"317","Keokea (Agricultural)",NA,NA,5114,2634621,"5114T","Keokea (Agricultural) Hawaiian Home Land",9981356,0,165,0.14729709,0.000865512,NA,NA
"318","Keoniki",NA,NA,5116,361139,"5116T","Keoniki Hawaiian Home Land",934537,0,0,0.048182125,8.06883e-05,NA,NA
"319","Ketchikan",NA,NA,6725,2575182,"6725R","Ketchikan ANVSA",55874218,234220,13208,1.191204379,0.007951844,NA,NA
"320","Kewalo",NA,NA,5120,2634622,"5120T","Kewalo Hawaiian Home Land",51428,0,394,0.010534921,4.47682e-06,NA,NA
"321","Kiana",NA,NA,6730,2418650,"6730R","Kiana ANVSA",2805016,0,299,0.11799457,0.000576109,NA,NA
"322","Kickapoo",NA,NA,5700,2418651,"5700R","Kickapoo OTSA",646244797,6618225,20991,1.400504119,0.064885105,NA,NA
"323","Kickapoo (KS)",NA,NA,1770,479833,"1770R","Kickapoo (KS) Reservation",611934197,1457962,3983,1.060455693,0.064397175,NA,NA
"324","Kickapoo (KS) Reservation/Sac and Fox Nation Trust Land",NA,NA,4910,2418987,"4910R","Kickapoo (KS) Reservation/Sac and Fox Nation Trust Land joint-use area",1060454,0,0,0.044158863,0.000111364,NA,NA
"325","Kickapoo (TX)",NA,NA,1775,2418986,"1775R","Kickapoo (TX) Reservation",498226,1492,430,0.031593533,4.61022e-05,NA,NA
"326","King Cove",NA,NA,6735,2418652,"6735R","King Cove ANVSA",31236838,6917922,1074,0.332513451,0.005363891,NA,NA
"327","King Salmon",NA,NA,6740,2575183,"6740R","King Salmon ANVSA",26032495,302763,179,0.48629871,0.004080134,NA,NA
"328","Kiowa-Comanche-Apache-Fort Sill Apache",NA,NA,5720,2418654,"5720R","Kiowa-Comanche-Apache-Fort Sill Apache OTSA",16454047113,197054232,192325,6.993131231,1.637356495,NA,NA
"329","Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware",NA,NA,5955,2418655,"5955R","Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA",499465092,1557225,11840,2.304758675,0.049504995,NA,NA
"330","Kipnuk",NA,NA,6750,2418656,"6750R","Kipnuk ANVSA",52483706,798572,613,1.208869409,0.008554585,NA,NA
"331","Kivalina",NA,NA,6755,2418658,"6755R","Kivalina ANVSA",4225379,6551940,688,0.262964243,0.002284141,NA,NA
"332","Klamath",NA,NA,1785,2418990,"1785R","Klamath Reservation",1287196,0,38,0.163978238,0.000140997,NA,NA
"333","Klawock",NA,NA,6765,2418659,"6765R","Klawock ANVSA",1609236,886869,675,0.112933424,0.000355248,NA,NA
"334","Knik",NA,NA,6785,2418661,"6785R","Knik ANVSA",18093686314,983100106,76056,13.33806663,3.267127217,NA,NA
"335","Kobuk",NA,NA,6790,2418664,"6790R","Kobuk ANVSA",40163363,1327064,143,0.410009247,0.008505043,NA,NA
"336","Kodiak",NA,NA,6795,2575184,"6795R","Kodiak ANVSA",126122332,972778,0,0.931564135,0.019219924,NA,NA
"337","Kokhanok",NA,NA,6800,2418666,"6800R","Kokhanok ANVSA",54328656,292193,150,0.607382502,0.008635015,NA,NA
"338","Kolaoa",NA,NA,5123,360067,"5123T","Kolaoa Hawaiian Home Land",1944850,0,0,0.105241907,0.000167593,NA,NA
"339","Kongiganak",NA,NA,6810,2418669,"6810R","Kongiganak ANVSA",4936724,279428,441,0.18730729,0.000837984,NA,NA
"340","Kootenai",NA,NA,1800,394860,"1800R","Kootenai Reservation",90698,0,67,0.019394108,1.10816e-05,NA,NA
"341","Kotlik",NA,NA,6815,2418671,"6815R","Kotlik ANVSA",7754326,1310529,811,0.202138141,0.001606628,NA,NA
"342","Kotzebue",NA,NA,6820,2418672,"6820R","Kotzebue ANVSA",64121147,4521848,3288,0.763758794,0.014040558,NA,NA
"343","Koyuk",NA,NA,6825,2418673,"6825R","Koyuk ANVSA",13213442,0,271,0.263653746,0.002506651,NA,NA
"344","Koyukuk",NA,NA,6830,2418674,"6830R","Koyukuk ANVSA",14859766,290257,62,0.258767983,0.002869727,NA,NA
"345","Kwethluk",NA,NA,6835,2418675,"6835R","Kwethluk ANVSA",26211679,4403991,653,0.319552684,0.005046013,NA,NA
"346","Kwigillingok",NA,NA,6840,2418676,"6840R","Kwigillingok ANVSA",61624055,90404,379,0.984986173,0.009890446,NA,NA
"347","Kwinhagak",NA,NA,6845,2418678,"6845R","Kwinhagak ANVSA",10619793,1517831,796,0.203639489,0.001937944,NA,NA
"348","La Jolla",NA,NA,1850,271928,"1850R","La Jolla Reservation",34958063,0,538,0.445192954,0.003383294,NA,NA
"349","La Posta",NA,NA,1895,255947,"1895R","La Posta Indian Reservation",16560558,0,31,0.219091973,0.001593148,NA,NA
"350","Lac Courte Oreilles",NA,NA,1815,1577192,"1815R","Lac Courte Oreilles Reservation",277749875,41304343,2721,2.15629903,0.036978102,NA,NA
"351","Lac du Flambeau",NA,NA,1825,1580845,"1825R","Lac du Flambeau Reservation",277303838,73007138,3413,0.90572289,0.040674859,NA,NA
"352","Lac Vieux Desert",NA,NA,1830,2418993,"1830R","Lac Vieux Desert Reservation",1084321,0,226,0.091546364,0.00012647,NA,NA
"353","Laguna",NA,NA,1840,1934340,"1840R","Laguna Pueblo",1988960771,2068014,3924,7.613971732,0.196675495,NA,NA
"354","Lake Minchumina",NA,NA,6850,2575185,"6850R","Lake Minchumina ANVSA",9994937,1038607,14,0.268898454,0.002014972,NA,NA
"355","Lake Traverse",NA,NA,1860,1934336,"1860R","Lake Traverse Reservation",3753388680,153518957,11052,3.292803005,0.450917066,NA,NA
"356","Lalamilo",NA,NA,5133,2414179,"5133T","Lalamilo Hawaiian Home Land",1004345,0,63,0.065869324,8.67075e-05,NA,NA
"357","Lanai City",NA,NA,5134,2634623,"5134T","Lanai City Hawaiian Home Land",190176,0,90,0.018500219,1.65023e-05,NA,NA
"358","L'Anse",NA,NA,1880,1616978,"1880R","L'Anse Reservation",237865016,46825041,3564,0.952092705,0.033535069,NA,NA
"359","Larsen Bay",NA,NA,6855,2418682,"6855R","Larsen Bay ANVSA",10444884,5890617,52,0.253401702,0.002449309,NA,NA
"360","Las Vegas",NA,NA,1915,853945,"1915R","Las Vegas Indian Colony",15849278,0,126,0.180257998,0.00159118,NA,NA
"361","Laytonville",NA,NA,1925,226975,"1925R","Laytonville Rancheria",788337,0,251,0.043556344,8.27522e-05,NA,NA
"362","Leech Lake",NA,NA,1940,659096,"1940R","Leech Lake Reservation",2521018118,872807826,11229,5.685674752,0.404054161,NA,NA
"363","Leialii",NA,NA,5135,2634624,"5135T","Leialii Hawaiian Home Land",296200,0,568,0.034360036,2.5715e-05,NA,NA
"364","Lenape Indian Tribe of Delaware",NA,NA,9800,2575194,"9800R","Lenape Indian Tribe of Delaware SDTSA",5771929,0,667,0.276818115,0.000601921,NA,NA
"365","Lesnoi",NA,NA,6860,2575186,"6860R","Lesnoi ANVSA",6250339,313897,0,0.150800274,0.000990629,NA,NA
"366","Levelock",NA,NA,6865,2418684,"6865R","Levelock ANVSA",43319610,0,76,0.501892171,0.006779428,NA,NA
"367","Likely",NA,NA,1955,276402,"1955R","Likely Rancheria",6237,0,0,0.00333839,6.69522e-07,NA,NA
"368","Lime Village",NA,NA,6875,2418686,"6875R","Lime Village ANVSA",198192668,5673660,8,1.3786645,0.034163202,NA,NA
"369","Little River",NA,NA,1960,2418998,"1960R","Little River Reservation",702364,7307,107,0.038627453,8.00135e-05,NA,NA
"370","Little Traverse Bay",NA,NA,1963,2419000,"1963R","Little Traverse Bay Reservation",2236756,928,73,0.209209023,0.000257425,NA,NA
"371","Lone Pine",NA,NA,1970,275865,"1970R","Lone Pine Reservation",952613,0,157,0.05008642,9.59374e-05,NA,NA
"372","Lookout",NA,NA,1980,227643,"1980R","Lookout Rancheria",163356,0,17,0.01692296,1.75394e-05,NA,NA
"373","Los Coyotes",NA,NA,1995,272219,"1995R","Los Coyotes Reservation",101560614,0,105,0.551149983,0.009831701,NA,NA
"374","Lovelock",NA,NA,2015,850417,"2015R","Lovelock Indian Colony",83593,0,53,0.013260665,8.83844e-06,NA,NA
"375","Lower Brule",NA,NA,2030,1267015,"2030R","Lower Brule Reservation",874857751,119530275,1631,2.494844692,0.111744278,NA,NA
"376","Lower Elwha",NA,NA,2040,1528424,"2040R","Lower Elwha Reservation",3279123,203882,603,0.245426004,0.000421009,NA,NA
"377","Lower Kalskag",NA,NA,6890,2418690,"6890R","Lower Kalskag ANVSA",3222589,1310464,283,0.134058627,0.000764233,NA,NA
"378","Lower Sioux",NA,NA,2055,647264,"2055R","Lower Sioux Indian Community",6962140,124999,551,0.211772492,0.000802351,NA,NA
"379","Lualualei",NA,NA,5136,361918,"5136T","Lualualei Hawaiian Home Land",1830493,117026,34,0.163501771,0.000169684,NA,NA
"380","Lumbee",NA,NA,9815,2418691,"9815R","Lumbee SDTSA",4701539584,22068621,503825,4.681459826,0.465237682,NA,NA
"381","Lytton",NA,NA,2075,227877,"2075R","Lytton Rancheria",21937,0,0,0.006597946,2.24875e-06,NA,NA
"382","MaChis Lower Creek",NA,NA,9820,2418693,"9820R","MaChis Lower Creek SDTSA",1730687218,6643797,22625,3.791404749,0.164655713,NA,NA
"383","Maili",NA,NA,5138,2634625,"5138T","Maili Hawaiian Home Land",362369,0,514,0.022559336,3.15656e-05,NA,NA
"384","Makah",NA,NA,2085,1511577,"2085R","Makah Indian Reservation",121171546,599608,1632,1.236163919,0.014766801,NA,NA
"385","Makaha Valley",NA,NA,5139,2634626,"5139T","Makaha Valley Hawaiian Home Land",955026,0,0,0.069248681,8.32249e-05,NA,NA
"386","Makuu",NA,NA,5146,362126,"5146T","Makuu Hawaiian Home Land",8898121,0,57,0.213969496,0.000765926,NA,NA
"387","Maluohai",NA,NA,5148,2634627,"5148T","Maluohai Hawaiian Home Land",153042,0,1238,0.019067214,1.33241e-05,NA,NA
"388","Manchester-Point Arena",NA,NA,2100,1985200,"2100R","Manchester-Point Arena Rancheria",1524368,0,365,0.080996859,0.000158376,NA,NA
"389","Manley Hot Springs",NA,NA,6900,2418694,"6900R","Manley Hot Springs ANVSA",38991600,0,80,0.488420856,0.0074148,NA,NA
"390","Manokotak",NA,NA,6905,2418696,"6905R","Manokotak ANVSA",90915954,2322048,804,0.509996123,0.0145648,NA,NA
"391","Manzanita",NA,NA,2115,245463,"2115R","Manzanita Reservation",18572897,0,61,0.23733866,0.001787135,NA,NA
"392","Maricopa (Ak Chin)",NA,NA,2130,23997,"2130R","Maricopa (Ak Chin) Indian Reservation",84992721,0,1348,0.631176916,0.00820119,NA,NA
"393","Marshall",NA,NA,6910,2418697,"6910R","Marshall ANVSA",10517008,8501,299,0.194589486,0.001795156,NA,NA
"394","Mary's Igloo",NA,NA,6915,2418698,"6915R","Mary's Igloo ANVSA",1152435,125005,0,0.072649777,0.000244256,NA,NA
"395","Mashantucket Pequot",NA,NA,2145,212541,"2145R","Mashantucket Pequot Reservation",5454689,0,216,0.325765119,0.000587906,NA,NA
"396","Mashpee Wampanoag",NA,NA,2147,2786720,"2147T","Mashpee Wampanoag Trust Land",1276676,16972,0,0.156658671,0.000140005,NA,NA
"397","Match-e-be-nash-she-wish Band of Pottawatomi",NA,NA,2150,2547776,"2150R","Match-e-be-nash-she-wish Band of Pottawatomi Reservation",632867,0,39,0.03343171,6.94572e-05,NA,NA
"398","Mattaponi",NA,NA,9230,1470191,"9230R","Mattaponi (state) Reservation",279160,31696,48,0.023633645,3.17425e-05,NA,NA
"399","McGrath",NA,NA,6895,2418700,"6895R","McGrath ANVSA",109641715,14527333,283,0.679844238,0.021940141,NA,NA
"400","Mechoopda",NA,NA,8450,2418703,"8450R","Mechoopda TDSA",3395725,0,3344,0.085117087,0.000356704,NA,NA
"401","Meherrin",NA,NA,9825,2418704,"9825R","Meherrin SDTSA",84378520,1255589,7630,0.556442296,0.008595881,NA,NA
